id,tweet,suggestedUsage,actualCategory
AViCHSS9c96u6qSv77nf,@GEICO @WellsFargo @Verizon @sprint @DIRECTV @AskAmex @Dodge @Toyota @subaru_usa @etrade @JNJCares @Progressive  Pl_Ñ_ https://t.co/gzFSB2L19m,TRAINING,MISCELLANEOUS
AViITYky5WZ5LI912JND,"@hockeyandmetal I guess it depends on the arena. At Wells Fargo here in Philly, they're still good seats.",TRAINING,MISCELLANEOUS
AViCapqZc96u6qSv77q-,"@HoodCertified wellsfargo is reimbursing me for being a member, I don't know how they're getting their $. StubHub said they couldn't do",TRAINING,MISCELLANEOUS
AViHfi5X5WZ5LI912JMg,@ImWithYou010 @GEICO @WellsFargo @sprint @verizon @DIRECTV @AskAmex @JNJCares @etrade @Toyota @subaru_usa @Dodge @Progressive BLOCK @CNN,TRAINING,MISCELLANEOUS
AVhwaZoDI2Sjmi8PbQ6X,@Indy_Hooper317 @tessa_yaylee bro I got that Wells Fargo cuz those horses go hard,TRAINING,MISCELLANEOUS
AViKraVVDpejEpiWJMTQ,@IsmaArllano Hahahaha I hate you Wells Fargo,TRAINING,COMPLAINT
AViCbx4Jc96u6qSv77rP,@joealderete3 @WellsFargo @CauseWereGuys Epic battles worthy of ESPN Classic.,TRAINING,MISCELLANEOUS
AViKqEMHDpejEpiWJMTK,@joellenslack818 @Citibank @WellsFargo @Barclays @latimes yes several levels indeed! Biggest shock: no leadership!,TRAINING,COMPLAINT
AVhzCeLxe9yMj175jmIA,@johntinder New Job at Wells Fargo: Analytics Consultant 4 (Chandler) https://t.co/LPetCQrQIb,TRAINING,SUGGESTION
AViJfcDu2cIsszF7Yw2f,@Jonathan2Deep_ @Reckless_santos @uriarteisai bank of America=0.00 Wellsfargo=0.00 American express= the world may never know ?,TRAINING,MISCELLANEOUS
AViCgSwPc96u6qSv77tO,@jorgekouadio New Job Alerts for You: Personal Banker Registered 2 | Wells Fargo | Bloomfield | https://t.co/8TUVjxcyEN,TRAINING,SUGGESTION
AVhwOUDxI2Sjmi8PbQ46,"@JoshMattson @SwiftOnSecurity ""sales goals"" because that worked so well for wells fargo",TRAINING,COMPLAINT
AVhy_1Axe9yMj175jmFs,@jtmarkscpa Do you think shareholder activists should get more involved with Wells Fargo? https://t.co/9CocGR2UH7,TRAINING,MISCELLANEOUS
AVhzCprGe9yMj175jmIS,@KYWNewsradio Don't hear any more about the Wells Fargo scam did you guys bury this and just get rid of it,TRAINING,MISCELLANEOUS
AVhwRAoXI2Sjmi8PbQ5K,@lhfang https://t.co/gnoKUEfwvK,TRAINING,MISCELLANEOUS
AViMkrENAHJ-cL1yqllD,@LiamTen17 Please call 1-800-869-3557 to review your daily limits with a Wells Fargo banker. ^GG,TRAINING,SUGGESTION
AViJilSZ2cIsszF7Yw3S,@LorettaLynch https://t.co/NFWe0Ou2SX,TRAINING,MISCELLANEOUS
AViJju392cIsszF7Yw3l,@LorettaLynch- @Ask_WellsFargo  it doesn't surprise me nothing has been done and no one has communicated with me._Ñ_ https://t.co/yM1d8rZRXn,TRAINING,COMPLAINT
AViCfFd4c96u6qSv77sT,@LoveyJess New Job in Portland: Teller N Denver Full Time at Wells Fargo https://t.co/yVX6XKoYLL,TRAINING,SUGGESTION
AViJowgP2cIsszF7Yw4j,@MardyAndino i dont recall lol maybe but i like it better than wells fargo lol,TRAINING,MISCELLANEOUS
AViCV25mc96u6qSv77qF,@marielamedina_C really..?! Awesome! Do I just apply to Wells Fargo or do I need to specify on which location?,TRAINING,REQUEST
AVhy-jXxe9yMj175jmD8,@matthewjsowell ohhhhh the Wells Fargo wagon is COMIN down the trail,TRAINING,MISCELLANEOUS
AViCd8BXc96u6qSv77r1,"@mdusing @wellsfargo Woah-- Thanks for the big ups. We're totally honored-- stunned, TBH. https://t.co/8PLBmbCjzY ^JD",TRAINING,COMPLIMENT
AViITs7D5WZ5LI912JNJ,@MyABJ I voted with my dollars years ago when @WellsFargo started charging for accounts under a certain balance.,TRAINING,COMPLAINT
AViCgmwfc96u6qSv77tV,"@nbc4i Because Wells Fargo is chief competitor to Bank of America, a Democrat donor. Always politics.",TRAINING,MISCELLANEOUS
AViJfYbK2cIsszF7Yw2d,@pbfrsox @WellsFargo Good choice friend.,TRAINING,COMPLIMENT
AViCVw5pc96u6qSv77qD,@PeterVecsey1 Did Wells Fargo throw in a Sixer home win streak as part of its settlement with the Feds?,TRAINING,MISCELLANEOUS
AViHfC7L5WZ5LI912JMY,@pink_lady56 @ambitjournal @GEICO @WellsFargo @sprint @verizon @DIRECTV @AskAmex @JNJCares @etrade @Toyota @subaru_usa @Dodge @Progressive,TRAINING,MISCELLANEOUS
AViMkZWiAHJ-cL1yqlk-,@PittTweet: Univ. Of Pittsburgh alum now leads @WellsFargo_Ñés national real estate specialty groups_Ñ_ https://t.co/9auJNTkCKn,TRAINING,NEWS - NEUTRAL
AViJecR12cIsszF7Yw2S,@PittTweet: Univ. Of Pittsburgh alum now leads @WellsFargo_Ñés national real estate specialty groups_Ñ_ https://t.co/XZ9UU06WcG,TRAINING,NEWS - NEUTRAL
AVhzIsu7e9yMj175jmPo,@Real_Estate_d3 Why would they be surprised?? #WellsFargo did very naughty things to customers according to the #Government!,TRAINING,COMPLAINT
AVhwMWeQI2Sjmi8PbQ4F,"@realDonaldTrump @LeaveEUOfficial appears those bogus accounts at Wells Fargo have the ability to invest and vote, they surly voted for you_ªÉÑ",TRAINING,MISCELLANEOUS
AViJn-5y2cIsszF7Yw4d,@realDonaldTrump @WellsFargo ....,TRAINING,MISCELLANEOUS
AVhzJNwZe9yMj175jmQc,"@realDonaldTrump DO SOMETHING ABOUT CORPORATE CRIME THIS @WellsFargo SHIT IS RIDICULOUS, PUNISH CORPORATE CRIMINALS!",TRAINING,REQUEST
AVhzCzUGe9yMj175jmIc,@realDonaldTrump my job at Wells Fargo was eliminated today. Consider bringing me in board. I have great skills you won't be disappointed.,TRAINING,REQUEST
AViORsG0AHJ-cL1yqlmA,@realDonaldTrump Will you appoint #SpecialProsecutor to investigate #WellsFargo &amp; others scamming Americans out of their hard-earned money?,TRAINING,REQUEST
AViHe1q05WZ5LI912JMU,@RealJeremyNolt @GEICO @WellsFargo @sprint @verizon @DIRECTV @AskAmex @JNJCares @etrade @Toyota @subaru_usa @Dodge @Progressive BLOCK @CNN,TRAINING,MISCELLANEOUS
AVhzDLYLe9yMj175jmIz,@SabrinaBoothe New Job Match: Administrative Assistant 3 at Wells Fargo (San Diego) https://t.co/e2DOX8C47s,TRAINING,SUGGESTION
AViJpKa82cIsszF7Yw4p,@sarasuebird @CNN @WellsFargo I hope you're listening to this!,TRAINING,MISCELLANEOUS
AVhwWbo-I2Sjmi8PbQ5v,@savannahjm44 @WellsFargo I know I need to go back credit unions are way better i moved and it was convenient but never again,TRAINING,COMPLAINT
AViMgv6KAHJ-cL1yqljX,"@SenateGOP @SenateDems @realDonaldTrump Like @WellsFargo Cheats and when caught pays a fine at best, TRUMP IS A CON LIAR!",TRAINING,MISCELLANEOUS
AViCJpGlc96u6qSv77n0,@SenWarren is a complete fraud Bought foreclosures and then bragged about the really good deals she earned. Did not_Ñ_ https://t.co/oq5yAq1ZSo,TRAINING,MISCELLANEOUS
AVhy8gyDe9yMj175jmBS,@SenWarren the only thing you should be working on is wells fargo and the 40 million that ceo got and get that money and give to the vets,TRAINING,REQUEST
AVhy-213e9yMj175jmEj,@SenWarren you should be sending wells fargo  a warrant freezing there assets and take there money and give to the people they used illegaly,TRAINING,REQUEST
AViCjytKc96u6qSv77uF,@SHAZAMNetwork how do I sign up? I believe Wells Fargo is a member?,TRAINING,MISCELLANEOUS
AViCRqhSc96u6qSv77pT,"@ShindyChen @MattDho You're quoted in my #Storify post about Wells Fargo, worker health, and stress management. https://t.co/E5uEjL1JG3",TRAINING,MISCELLANEOUS
AViHdBa75WZ5LI912JLD,@ShwahKram It shut the entire downtown of Bismarck down.  First wells fargo because they invested in the project.  Then the federal building,TRAINING,NEWS - NEUTRAL
AViJf63Q2cIsszF7Yw2k,"@sixers _ªèÑ. Thanks, dre___day! @ Wells Fargo Center https://t.co/vvjmZzmDNt",TRAINING,MISCELLANEOUS
AViCRqhSc96u6qSv77pS,"@sswalker @MattMEgan5 You're quoted in my #Storify post about Wells Fargo, worker health, and stress management. https://t.co/E5uEjL1JG3",TRAINING,NEWS - NEUTRAL
AViKbW-Z2cIsszF7Yw5f,@TD_Canada @RBC_Canada @scotiabank @WellsFargo @Citibank #NoDAPL #STOPDAPL https://t.co/NLFlIsdO6x,TRAINING,REQUEST
AVhwZtrCI2Sjmi8PbQ6U,@TDBank_US are literally the biggest scammers known to man... at this point a Wells Fargo account seems safer,TRAINING,COMPLIMENT
AViOStBwAHJ-cL1yqlmH,"@TheEllenShow Wells Fargo The Private Bank understands that LGBTQ organizations want grant funding, but they will need to compete nationally",TRAINING,NEWS - NEUTRAL
AVhwK4EtT_uKRw_KmF-Z,@TheSchlaf https://t.co/md8alFhzqS,TRAINING,MISCELLANEOUS
AViCHScSc96u6qSv77ng,@TrizzeTrell Wells Fargo,TRAINING,MISCELLANEOUS
AViIT5D85WZ5LI912JNM,@UR_Ninja @FargoPolice @MortonCountySD @WellsFargo @washingtonpost Sue for attempted homicide!! This is extreme disregard for human life!,TRAINING,COMPLAINT
AViITd2p5WZ5LI912JNF,@UR_Ninja @FargoPolice @MortonCountySD @WellsFargo @washingtonpost Sue for attempted homicide!! This is extreme disregard for human life!,TRAINING,COMPLAINT
AViCRqhSc96u6qSv77pR,"@USUncut @KelbyMay You're quoted in my #Storify post about Wells Fargo, worker health, and stress management. https://t.co/E5uEjL1JG3",TRAINING,MISCELLANEOUS
AViJiktF2cIsszF7Yw3R,@Voguetote was honored to be a part of the @TheExpatWomanUS @Entrepreneur  event and present how it allows women to_Ñ_ https://t.co/G8W6Dgw4vj,TRAINING,NEWS - POSITIVE
AViChMsYc96u6qSv77tl,@WellsFargo,TRAINING,MISCELLANEOUS
AVhwNVA5I2Sjmi8PbQ4L,@WellsFargo - How the other half lives https://t.co/LDxeBBGg1E,TRAINING,MISCELLANEOUS
AVhwNqzrI2Sjmi8PbQ43,@WellsFargo - Thriv https://t.co/PBgoLmNvat,TRAINING,MISCELLANEOUS
AVhwN7jxI2Sjmi8PbQ45,@WellsFargo -Thriving on the double standards you pay for https://t.co/OHg2qzroiP,TRAINING,COMPLAINT
AVhzEuKoe9yMj175jmKT,"@WellsFargo , @BankofAmerica , and others around the world r funding the DAPL. Not good! Close ur account and look into local credit unions.",TRAINING,REQUEST
AViKbBqv2cIsszF7Yw5e,@WellsFargo Being queer in an HBCU Sororiety - Watch Glamazontay's HBCU Vlog: https://t.co/tQAsQ9QKuZ  #hbcu,TRAINING,MISCELLANEOUS
AViHfYeV5WZ5LI912JMd,"@WellsFargo believes #Diversity and #inclusion isn_Ñét just about counting heads, it_Ñés about making heads count -_Ñ_ https://t.co/vWBPpo7luN",TRAINING,NEWS - NEUTRAL
AVhzCer7e9yMj175jmID,@wellsfargo boycott this bank!!! They have had a hold on my husbands check for over a week and won't release funds... for no reason!!,TRAINING,COMPLAINT
AViMhRarAHJ-cL1yqljg,@WellsFargo Commitment Ads a joke. Advisors stole $ 21K &amp; now I have an attorney. WF fraud w/customers continues unabated Timothy Sloan,TRAINING,COMPLAINT
AVhzD_oYe9yMj175jmJo,@WellsFargo deceptive tactics and garbage customer service sending me in circles. Closing my accounts ASAP. Look at news today too,TRAINING,COMPLAINT
AViCkO8Jc96u6qSv77uJ,@WellsFargo do you offer services to send money out of the country?,TRAINING,REQUEST
AVhy79Eqe9yMj175jmAo,@WellsFargo does this mean you'll stop funding unsustainable energy projects? Taking my money to a local credit union instead. #NoDAPL,TRAINING,REQUEST
AViJce7-2cIsszF7Yw11,@WellsFargo fix my card or you'll need to get your face fixed,TRAINING,COMPLAINT
AVhzIFLie9yMj175jmO3,@WellsFargo fuck you _ª_Ç_ªè_,TRAINING,COMPLAINT
AViJmSig2cIsszF7Yw4G,@WellsFargo https://t.co/Ym3PMFxo2u,TRAINING,MISCELLANEOUS
AVhzFeM3e9yMj175jmLy,@WellsFargo I need a number of an actual human.  I call a million numbers and only get a recording.,TRAINING,COMPLAINT
AVhwKxIZT_uKRw_KmF-Y,@WellsFargo is a shame! They dont care about Americans or the nation. Just money. Apparently they can steal their customers with no arrests,TRAINING,COMPLAINT
AVhy8Vgre9yMj175jmBI,@WellsFargo is like a drug addict. Both have to WANT to stop before they actually can https://t.co/wbUjMVxIbH,TRAINING,MISCELLANEOUS
AViMl8-xAHJ-cL1yqllV,@WellsFargo is probably the worst bank I've had to deal with smh,TRAINING,COMPLAINT
AVhwLaIST_uKRw_KmF-e,@WellsFargo teachers change grades and go to jail. You steal from your clients and get fucking promotions.,TRAINING,COMPLAINT
AViCcLOcc96u6qSv77rd,@WellsFargo to reassure customers maybe not make a tv ad with cowboys running off with a wagon lol Sending the wrong message @Ask_WellsFargo,TRAINING,COMPLAINT
AVhwNMYFI2Sjmi8PbQ4K,@WellsFargo when r u Filthy Mother Fuckers going to Prison?,TRAINING,COMPLAINT
AViKcjX_2cIsszF7Yw5m,"@WellsFargo when you all funded horrible loans, and I invested 140k in down and imprvmnts, still lost home on crap variable.Ruined r lives.",TRAINING,COMPLAINT
AVhzFoZue9yMj175jmMB,@WellsFargo where did my automatic transfers go on this new system? Not thrilled with this update.,TRAINING,COMPLAINT
AViCZlqxc96u6qSv77q0,@WellsFargo yall so worisome man _ªÉê,TRAINING,COMPLAINT
AVhwTXKCI2Sjmi8PbQ5a,@WellsFargoB2B R U The Same @WellsFargo That Stole Millions of Homes With NO Documentation? &amp; called POC Mud People? Yep! u Certainly Are_ªÉÑ,TRAINING,COMPLAINT
AViHeF9-5WZ5LI912JMG,"@WiseAudra  I will call. I pulled all of my money, out of Wells Fargo, for financing the pipeline........I have totally DIVESTED my funds!!!",TRAINING,COMPLAINT
AViHexjc5WZ5LI912JMS,@Workers4Trump @GEICO @WellsFargo @sprint @verizon @DIRECTV @AskAmex @JNJCares @etrade @Toyota @subaru_usa @Dodge @Progressive BLOCK @CNN,TRAINING,MISCELLANEOUS
AVhwW4F2I2Sjmi8PbQ57,@YellowDiamondKe Wells Fargo.,TRAINING,MISCELLANEOUS
AVhzHwv9e9yMj175jmOb,@zerohedge no more ghost accounts for #WellsFargo,TRAINING,MISCELLANEOUS
AViJgCxU2cIsszF7Yw2l,"* 76ers player banks in a 3 Eric: Well this is the Wells Fargo Center, so the bank is open Make it stoooop _ªé_",TRAINING,MISCELLANEOUS
AViOS1KnAHJ-cL1yqlmJ,#BankExit #CloseYourAccts https://t.co/tqc1Mfobn8,TRAINING,REQUEST
AViJdoX62cIsszF7Yw2H,#BankExit #NoDAPL @WellsFargo @BankofAmerica @morningmika @KillerMike @democracynow @MSNBC @ChrisHayesTV_Ñ_ https://t.co/M4Zh9JDiow,TRAINING,REQUEST
AViKsAXKDpejEpiWJMTS,#BankExit Divest from @BankofAmerica @WellsFargo @Chase @Citibank @HSBC_US  until they say #NoDAPL https://t.co/rOpC3vJTzo cc: @BarackObama,TRAINING,REQUEST
AViJdaV32cIsszF7Yw2C,#BankExit Pull your money out of @WellsFargo @NewYorker @BBCWorld @newyorktimes110 @CNN @Morning_Joe https://t.co/Sgj22icVNA,TRAINING,REQUEST
AViCE5QUc96u6qSv77mE,#banks being investigated for #CurrencyRigging &amp; manipulating precious #MetalsMarkets. https://t.co/sigAPRWtdm #WellsFargo,TRAINING,NEWS - NEGATIVE
AVhwaySNI2Sjmi8PbQ6c,#Banks can commit fraud with no fear; #WellsFargo is clear proof as no one has gone to Jail https://t.co/0Vzbqjxm1F,TRAINING,NEWS - NEGATIVE
AVhzIycje9yMj175jmP4,#Banks can commit fraud with no fear; #WellsFargo is clear proof as no one has gone to Jail https://t.co/YKgtCUqudX,TRAINING,NEWS - NEGATIVE
AVhwZimNI2Sjmi8PbQ6S,#Banks can commit fraud with no fear; #WellsFargo is clear proof as no one has gone to Jail https://t.co/YKgtCUqudX,TRAINING,NEWS - NEGATIVE
AVhzJkeke9yMj175jmQq,#Banks can commit fraud with no fear; #WellsFargo is clear proof as no one has gone to Jail https://t.co/zYS2AZ8VTC,TRAINING,NEWS - NEGATIVE
AViCFGjsc96u6qSv77mO,#Banks still investigated #UBS #HSBC #MorganStanley #JuliusBaer outed by #WikiLeaks https://t.co/VhEoXOXLhm #WellsFargo,TRAINING,NEWS - NEGATIVE
AViCFvTec96u6qSv77nQ,#BigBanks didn't learn their lesson because they weren't taught one. #FreedomPopRadiO https://t.co/sigAPRWtdm #WellsFargo,TRAINING,NEWS - NEGATIVE
AVhy-r0-e9yMj175jmEV,#Breaking Wells Fargo sees significant slowdown in account openings Read More : https://t.co/1ymT9Hw20s,TRAINING,NEWS - NEGATIVE
AViCHbpkc96u6qSv77nh,#cnnsotu #msnbc #FOXNewsUS https://t.co/01LA9mu3G2,TRAINING,MISCELLANEOUS
