"tweetId","tweet"
"AViRmTSlM5JkN4o-tQek","$EAD #Wells Fargo Income Opportunities Fund Three Closed-End Funds Advised by We... https://t.co/A3ykbRGSaw #news https://t.co/p96rQIkst5"
"AViRmW9KM5JkN4o-tQel","Want to work at Wells Fargo? We're #hiring in #FortMill, SC! Click for details: https://t.co/RtgtV0L1CX #Job #ProjectMgmt #Veterans #Jobs"
"AViRkeVIM5JkN4o-tQdd","@BankofAmerica So u clowns switch my EBanking acct w/o my knowledge &amp; bill me fees for 3 mos? Are u looking for a lawsuit like @WellsFargo ?"
"AViRl9TqM5JkN4o-tQeh","@WellsFargo absolutely the worst ever. DO NOT EVER USE #WellsFargo FOR MORTGAGE. NO END IN SIGHT FOR MY HOMELESS CLIENT."
"AViRlCBrM5JkN4o-tQeU","Supporting #smallbiz &amp; big dreams, @WellsFargo distributes $11.2 mill to #CDFIs to help #diverse #entrepreneurs https://t.co/Dyw1pf6j2g!"
"AViPeN8mGInsIYxeOJSK","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/EqydkGuf29"
"AViRjd7kGInsIYxeOJTf","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/neeROt4fCG"
"AViR1K0uQz9XSObiXh6X","#OCC memo indicates agency may not waive sanctions in the future. https://t.co/xPgHpyh7FX"
"AViRqawoM5JkN4o-tQfF","VEDC Receives $2.5 Million from Wells Fargo to Support Diverse Small Businesses | Business Wire https://t.co/pq4NncRjuH"
"AViRqawoM5JkN4o-tQfG","Dozens of Wells Fargo employees filed whistleblower complaints new data shows: https://t.co/kKeOs9V5wC via @nbcbayarea"
"AViRqawoM5JkN4o-tQfH","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/ivG5ZxcOln"
"AViRqawoM5JkN4o-tQfJ","Wells Fargo is hard at work trying to rebuild its reputation. Insight from @CNBC https://t.co/H4BLsmtnFP https://t.co/xTmrfn2hkL"
"AViRqawoM5JkN4o-tQfK","In wake of wells fargo us regulator mulls tougher #bank sanctions #news #market #business"
"AViRqeE8M5JkN4o-tQfN","@WellsFargo I've been dying to find a new bank, but this is the push I need. Thanks, happy holidays 😌 #NoDAPL https://t.co/4mE40zyu8l"
"AViRpNx-M5JkN4o-tQe1","@scullness @Ask_WellsFargo @WellsFargo i honestly think they're just forcing me into the chip life! does your card have a chip rn or no"
"AViRpNx-M5JkN4o-tQe8","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/B1Eix3ZEEK"
"AViRpNx-M5JkN4o-tQe-","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/J2PA8b7pi9"
"AViRpNx-M5JkN4o-tQfC","@Ask_WellsFargo Already did a claim ."
"AViR2Xs8Qz9XSObiXh7W","Join the Wells Fargo team! See our latest #job opening here: https://t.co/jYY2UJoa16 #Philadelphia, PA #Veterans #Hiring #CareerArc"
"AViRnHGmM5JkN4o-tQer","@wellsfargo Congrats! You are ranked #28 brand https://t.co/q0hmk24Zxz on this week's The Eventopedia Brands Power 80."
"AViR2Sk6Qz9XSObiXh7U","@Ask_WellsFargo I don't think the app has ever taken the picture of the back of the check. Always times out and forces manual shot."
"AViRnGoBM5JkN4o-tQeq","Wells Fargo billboard on 40biz west says they support 69 local charities. Really? Couldn't they have found 1 more charity to help?"
"AViRmaRRM5JkN4o-tQem","The 4.8 percent jump in durable goods orders in October was largely driven by a surge in aircraft orders, Wells Fargo economists said."
"AViR2iBoQz9XSObiXh7a","Want to work at Wells Fargo? We're #hiring in #Melville, NY! Click for details: https://t.co/xA1GGPZ1L2 #Job #Veterans #Jobs #CareerArc"
"AViR3FQqQz9XSObiXh7f","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/TSU4FESG7A"
"AViPSQJbGInsIYxeOJPy","Inside Wells Fargo, workers say the mood is grim Wells Fargo workers tell CNNMoney they are angry at the bank f https://t.co/X51kihzJw6"
"AViPUmG2GInsIYxeOJQL","@Ask_WellsFargo that's it... I'm calling my lawyer"
"AViPRDTrGInsIYxeOJO1","1) Bank of America, HSBC, UBS, Goldman Sachs, Wells Fargo https://t.co/FTibE1BrXz has extended a $175 million credit line to Energy Transfer"
"AViPTrgQGInsIYxeOJQE","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/UOR9gUL6Vx"
"AViPTEwwGInsIYxeOJP-","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/DnYnGHoik3"
"AViPaEoMGInsIYxeOJQ0","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/uVAUsMolpG https://t.co/r1zngrbuw4"
"AViPaEoMGInsIYxeOJQ7","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/ydG75TvL3I"
"AViPaEoMGInsIYxeOJQ8","#FOREX BUSINESS In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/WWw3ApxHjF"
"AViPaEx1GInsIYxeOJRC","#In #wake #of #Wells #Fargo, #U.S. #regulator #mulls #tougher #bank #sanctions https://t.co/G2mGxtme8P https://t.co/BJJtCQLJJQ"
"AViPaEx1GInsIYxeOJRD","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/7UcohZeMF2 https://t.co/445ENJoH6k"
"AViPaEW4GInsIYxeOJQm","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/7m9FCLXftt"
"AViPaEW4GInsIYxeOJQp","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/UkcL45cB56 https://t.co/R2Ytmmx08p"
"AViPaEW4GInsIYxeOJQs","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/seMRCiC9e0 https://t.co/iIJUGPciCW"
"AViPaEW4GInsIYxeOJQv","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/shITYkN1Az https://t.co/BdBDMQluEb"
"AViPbJrtGInsIYxeOJRx","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/C0k2JucNRL"
"AViPbJrtGInsIYxeOJR5","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/KyNPnZOEPh https://t.co/WWu1Y9dYVP"
"AViPbJrtGInsIYxeOJSA","In wake of Wells Fargo, US regulator mulls tougher bank sanctions https://t.co/ihVvb8gMtO https://t.co/BnX2YXhrYB"
"AViPbJrtGInsIYxeOJSD","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/5OnJ7BBwaC"
"AViPaFcLGInsIYxeOJRo","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/m74khIaKj3 #DeenSanwoola https://t.co/ykoqt9vvZT"
"AViPaE_0GInsIYxeOJRR","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/8nWrHr7Ryo brandnaware https://t.co/QC0uGZKKJf"
"AViPaFOsGInsIYxeOJRd","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/BNF4y0zYCm #business #pymes #smal… https://t.co/ckUM5W4HB9"
"AViPYDMkGInsIYxeOJQc","Retweeted Los Angeles Times (@latimes): Wells Fargo scandal prompts Los Angeles to crack down on banks that do... https://t.co/sWWqdgRjbw"
"AViPeN8mGInsIYxeOJSL","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/8zmNTICxBV #Company #MnA"
"AViPUqocGInsIYxeOJQM","Los Angeles Times: Wells Fargo scandal prompts Los Angeles to crack down on banks that do business… https://t.co/XOnZsA7nnr #NewsInTweets"
"AViRpNx-M5JkN4o-tQe3","Will more stringent federal regulatory requirements halt Wells Fargo's post-election climb? https://t.co/q0DiU1wKRN… https://t.co/dacMgtgQIp"
"AViRpNx-M5JkN4o-tQfB","Wells Fargo's Andrew M. Bertamini to be Recognized with a Joe Manns Black Wall Street Award at Bmorenews' 14th - ... https://t.co/9fBoQLJfL4"
"AViR22qTQz9XSObiXh7d","Fascinating story continues... https://t.co/tYhkggVo2k"
"AViRlmjrM5JkN4o-tQeb","Three Closed-End Funds Advised by Wells Fargo Funds Management Extend Share Repurchase Programs… https://t.co/lwIo54SlO4"
"AViRlMd7M5JkN4o-tQeY","Three Closed-End Funds Advised by Wells Fargo Funds Management Extend Share Repurchase Programs… https://t.co/VIdn38gdFt"
"AViRkJoAM5JkN4o-tQdc","@_omgigi_ @Ask_WellsFargo @WellsFargo happened to me too, did they get hacked or something?"
"AViRqawoM5JkN4o-tQfI","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/j8OaFp81i1"
"AViRqaz3M5JkN4o-tQfM","Wells Fargo’s Andrew M. Bertamini to be Recognized with a Joe Manns Black Wall Street Award at Bmorenews’ 14th https://t.co/9VS2PJiXtw"
"AViR2aHiQz9XSObiXh7Y","Wells Fargo accused of commencing foreclosure without a mortgage https://t.co/pNhZLkQmf1 via @"
"AViR1ZK1Qz9XSObiXh7O","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/pcmbi0UfyE"
"AViR1W76Qz9XSObiXh7N","Wells Fargo's internal investigation will last until spring (Video) https://t.co/7Xvme0rjbM"
