Expected Cat, Pred Cat, Content
REQUEST,943768874,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,-562236483,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLAINT,1019210956,why your dnd  there's a national dnd which you need to honor
COMPLAINT,1680524951,what is more frustrating is that for customer care you guys only allow characters as the limit for a message
COMPLAINT,1680524951,this is completely unprofessional    remember customer care is very important in the service sector
COMPLAINT,1668713451,in my yrs association with this bank its pathetic to see such downfall of this bank  hopeless service
COMPLIMENT,794968553,thank you
COMPLIMENT,-887234747,pls dont go with hdfc credit cards  no offers or benefits for existing customers  better go with sbi or banks
MISCEALLANEOUS,-200323116,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,-1841232915,shared my number
MISCEALLANEOUS,1668713451,this is how fraudster operate  web address is same except *s* missing in *https* and *l* used inst
MISCEALLANEOUS,-1205702681,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,-1205702681,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,-1205702681,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,1668713451,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,-1782832344,finally  after months of waiting
MISCEALLANEOUS,1346531353,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,1346531353,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,1861035919,join md at ascentconclave for an inspiring talk  more info ascen
MISCEALLANEOUS,-1733448053,sure
REQUEST,1956815791,someone is misusing my email id on an icici bank account; how can this be stopped
REQUEST,-685781062,please check on 's concern
REQUEST,1552364362,i want to talk with some authories senior people who has power of decisions making my no
REQUEST,-200323116,hi team i am a corporate customer   could u pls contact me i need details on demat account
REQUEST,1402169338,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,-297309567,please also refund the other atm charge been applied on the account
REQUEST,466664988,i have tried so many times plz email me rk_rose  com  from mail id u can get all details
REQUEST,-1227960030,call me
REQUEST,649596181,please look into the matter asap
REQUEST,-22867939,these are fraudsters calls please don't share any information to them
REQUEST,1899155536,help me understand why i need to fill out all these details just so i can opt out of your marketing
REQUEST,706666327,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,1346531353,is this a valid email  i do not have any account with you ending with
REQUEST,1668713451,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,-1015203504,why is my pockets card blocked online trans  calling x but exceptional call vol auto disconnect incorrect ivr
REQUEST,1610904935,i ll b in delhi on nvmbr contact m
REQUEST,1003352193,nothing yet  please help
REQUEST,509299787,can u give a resolution r solution to this  i send a dm as well
REQUEST,996829137,please check dm
REQUEST,-890269173,i need to change my primary contact number can i do it online without visiting branch
REQUEST,466664988,someone give me a solution plz
REQUEST,-1575785430,please contact me as soon as possible
REQUEST,-747443372,today i got a mail regading the same where mr  sandeep asking for the further process  let see if he could do that soon
REQUEST,466664988,i wl foreclose plz dnt worry on that  but i need a letter for cibil to rectify kmb's blunders  i hv to get my score correctd
REQUEST,-562236483,why there's no kannada language in ur challan  saw this today in bhattar
SUGGESTION,-2090746851,disable auto fill data option on your laptop other devices  follow safebanking practices  to share
REQUEST,943768874,Looking for a credit card.
