Expected Category, Predicted Category, Next, Diff,Content
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000006235681590519580643974025165115249650774183836232025105343923635809648697007561095860112727935986857847716844629135350299531469134893315195474882719393493818464781067440461737084359563777632000,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.0000177382356246060786295778834364500,sure
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000002013410188111359301200431202555327048855842794406109337595921897346628799133598677987827515670759368397442271277828799332798825795090479565915965165017020403108859582084294272520342021459230975262041790423601154873726514210699264862513380182131950886522849723973956081512775946733179863040,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000022561358477832834762842841210866427843983175589877134993983524923678273650287775054272376491066121471362924683704706089797549313561216914835895343376296443824722550758276925459877843048069769940713373940704000,please also refund the other atm charge been applied on the account
REQUEST,COMPLAINT,REQUEST,-0.00000643021211274976341878174717504268834002554887930,call me
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000008847935297231381190766705859203014267421568058924596743975647976669783370474847747533537162165679575996695833433833148782659507101693161392649287682781992590471531227739407270332032621686013045434103260415340455484488834586215498409896060799294729813675999268915884023273184021621896277759049775425240800218455788509444967716404754345380911513600000,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000366431467617946666671832374958646902293685130581087393479455453938335466909108785165736470553165148516896692577288414075620736544999059524408218843135001005222265887652525951721511213139561870413502927211438665174816427920117902189152321909537352729779200000,is this a valid email  i do not have any account with you ending with
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000001467366265373350619368667326899571744811058830958468787814599828735629106085761642450483033102761183499322885481792192035900746694811078788638272635090683195557444008239316181099402137600763962193805747483087704791394107435837089979777407464642881716919542786219412868495596546775351672014695511229130283048373934099967940370974965868933926092800000,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,MISCEALLANEOUS,REQUEST,-0.00000000000000000000000000008185971597954533005223948822565365167651302205549657332742122512796387806058540027796402014328737204904710700577928031314704533371948573667095706565371822080,i ll b in delhi on nvmbr contact m
REQUEST,COMPLAINT,REQUEST,-0.000000000001257415839012715255414116189875499786693863588467933723711003285019452141619092320,nothing yet  please help
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000400950845076507137446819081419775861713225200197100758698069778803471556154118962829084254103744883568406423510571369168443497135252324575227462836456689773313133605173199164368544133459159009967333341971812297083525532404619410521493434349519287648000000,can u give a resolution r solution to this  i send a dm as well
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000157517483360025391583302117724408707248056479194661403910557208538277124822333910236493654277842497055570953973208821459616052761079514586204914811243535442728961183677443624941415364158220979302427297804810564313647164319254087719064698880,why there's no kannada language in ur challan  saw this today in bhattar
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000233747684553924192645746416177713964548666890321870785734148848976612926222701129709531027600417797910317241756600,Looking for a credit card.
