Expected Cat, Pred Cat, Content
REQUEST,REQUEST,my client wrongly paid excess incometax through icici online can we get reversal by th oct mrng
REQUEST,REQUEST,my salary was than how your employee open maintain a/c he don't told me about that   plz help me  i need your help
REQUEST,MISCEALLANEOUS,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,REQUEST,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLAINT,COMPLAINT,why your dnd  there's a national dnd which you need to honor
COMPLAINT,REQUEST,what is more frustrating is that for customer care you guys only allow characters as the limit for a message
COMPLAINT,REQUEST,this is completely unprofessional    remember customer care is very important in the service sector
COMPLAINT,REQUEST,in my yrs association with this bank its pathetic to see such downfall of this bank  hopeless service
COMPLIMENT,COMPLIMENT,thank you
COMPLIMENT,COMPLAINT,pls dont go with hdfc credit cards  no offers or benefits for existing customers  better go with sbi or banks
MISCEALLANEOUS,COMPLAINT,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,MISCEALLANEOUS,shared my number
MISCEALLANEOUS,REQUEST,this is how fraudster operate  web address is same except *s* missing in *https* and *l* used inst
MISCEALLANEOUS,MISCEALLANEOUS,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,MISCEALLANEOUS,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,MISCEALLANEOUS,a small ell instead of small i in the address  the s missing after http  fraud mail
MISCEALLANEOUS,REQUEST,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,finally  after months of waiting
MISCEALLANEOUS,COMPLAINT,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,MISCEALLANEOUS,join md at ascentconclave for an inspiring talk  more info ascen
MISCEALLANEOUS,COMPLIMENT,sure
REQUEST,COMPLAINT,someone is misusing my email id on an icici bank account; how can this be stopped
REQUEST,MISCEALLANEOUS,please check on 's concern
REQUEST,MISCEALLANEOUS,i want to talk with some authories senior people who has power of decisions making my no
REQUEST,COMPLAINT,hi team i am a corporate customer   could u pls contact me i need details on demat account
REQUEST,COMPLAINT,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,REQUEST,please also refund the other atm charge been applied on the account
REQUEST,REQUEST,i have tried so many times plz email me rk_rose  com  from mail id u can get all details
REQUEST,REQUEST,call me
REQUEST,REQUEST,please look into the matter asap
REQUEST,REQUEST,these are fraudsters calls please don't share any information to them
REQUEST,REQUEST,help me understand why i need to fill out all these details just so i can opt out of your marketing
REQUEST,COMPLAINT,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,COMPLAINT,is this a valid email  i do not have any account with you ending with
REQUEST,REQUEST,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,REQUEST,why is my pockets card blocked online trans  calling x but exceptional call vol auto disconnect incorrect ivr
REQUEST,MISCEALLANEOUS,i ll b in delhi on nvmbr contact m
REQUEST,REQUEST,nothing yet  please help
REQUEST,COMPLAINT,can u give a resolution r solution to this  i send a dm as well
REQUEST,REQUEST,please check dm
REQUEST,COMPLAINT,i need to change my primary contact number can i do it online without visiting branch
REQUEST,REQUEST,someone give me a solution plz
REQUEST,REQUEST,please contact me as soon as possible
REQUEST,MISCEALLANEOUS,today i got a mail regading the same where mr  sandeep asking for the further process  let see if he could do that soon
REQUEST,REQUEST,i wl foreclose plz dnt worry on that  but i need a letter for cibil to rectify kmb's blunders  i hv to get my score correctd
REQUEST,REQUEST,why there's no kannada language in ur challan  saw this today in bhattar
SUGGESTION,SUGGESTION,disable auto fill data option on your laptop other devices  follow safebanking practices  to share
REQUEST,COMPLAINT,Looking for a credit card.
