Expected Category, Predicted Category, Score, Next, Score,Content
REQUEST,COMPLAINT,0.00000000000000000000000000000000000000000000000000000000000011105058092621893667688779559392174706035195105057820399922247548498875701309702963974946026114534564637738453560045732450922889230072459568246072766692948938321517264535386094610118317231918749964284509961528208934985688995984351735213847549236463981938162345619445329055185589088953571476499497353418750066340814978460121691038123432820537983594659840000,REQUEST,0.000000000000000000000000000000000000000000000000000000000000029693429626445500608617287016249860021578311368022725552860024145480080490133971744011353379641544792260148089383325339184057652162673223548746775488349835097411311863962903378205514591902906893375843631375968831710446730113864489336472730105384248310481820248792701167389824486292958767386856358217833419557102454599900262021965297539789084426240000,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLIMENT,COMPLAINT,0.00000138342811186041161949515389026474092222620586590,REQUEST,0.00000120678048529056591977155505469289369649319435120,thank you
MISCEALLANEOUS,COMPLAINT,0.0000000000000000000000000000000000000000000000000000001308586882071504891662741236511531632994273915289088494081929097330088915570286641167972647112723569973274123571593921337350073644490660692925029654630757742138383235921393292329075543598648201792007655942338375450821828785723293842696354790399508422135526319839400371521009906166776344716451515143399241952788480,REQUEST,0.000000000000000000000000000000000000000000000000000000000039969749581651238264433468593081606094577616979533276463120527058903301007551312022067071582192530465041845764249965514984613822318730188682399080401735656802739401177717820682829460065667035598580192972927482832518478037128261354694453211904749339794293420703470712271861182996637926694443894702080,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,REQUEST,0.0000000091218314393663591301285792317824137553459055571927357284640,COMPLAINT,0.000000005923488622233600382397944465449056279168531946159255512312731200,shared my number
MISCEALLANEOUS,COMPLAINT,0.000000000000000000000000000000000000000000000000000000000000852292848732754081690895442296601950898503334459008779147840156075326549789230588177801491937239191672839790963499556592115966994064379742270771014299398568924832986636546358618236820544845502508544048850550977108781783058781431405555220499884100839549211916711358897946162087756717435820733999651853715983608224401063936000,REQUEST,0.000000000000000000000000000000000000000000000000000000000000000042517994474117864666094810842069836542249096692664828183424299577566290216740158854368540664207131742472137742549349227597071824945472515351872949218157073551190578047065737694963315741710949195700364990769091242075480345209963575875349548990204393697182521173747066795089695506291316232580436380634671218688000,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,0.0000000000000030444671718897766843276221916799218987410303412896074839556982136181471344846881555862490262400,MISCEALLANEOUS,0.000000000000000812893154674985467256797377020176554074847971480137223006269141292572021484375000,finally  after months of waiting
MISCEALLANEOUS,COMPLAINT,0.0000000000000000000000000000000000000000000000000628645835730618581825764198579160025080559128184116164820807746271684764304724369797519044153131146948304707477011249200869332064449692739111402426005545646031791200029904741474209280735212998595628465605021181874922763505923534760410279851554917752287412269165339340292498983132920985162752000,REQUEST,0.000000000000000000000000000000000000000000000000019110523225460272722542212409354723882992059540451518527021874283242567859961009582215770799306499638333733170440023181511092531649944863034451756148633879192592322876196248553606224345516806717774644270410720377048445533990038825737927406699017892292023249716446540341290551262672186245120000,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,0.000000000000000000000000000000141475304503429557624958541718156195608729601609280598518231617100881264559429955623334710982733411856495600354872949530640596215727102005559116455401953187006919876602552950726863283404800,REQUEST,0.00000000000000000000000000000000899483740192505952026493947070637307272178459920293626131270810294787963907686221323630564148076625090767662479330631755458179567438728816126414810807039923885651840155681680261120,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,REQUEST,0.00010549864301309781696381410686560,COMPLAINT,0.000089919513670658830195781269179780,sure
REQUEST,COMPLAINT,0.000000000000000000000000000000003450756856421090684994144161872535307549647807425540758874821941633348484352706762139046291138597624971222138056016300005125115302635700852715052619379889077928556097380754842042906733176851872672322912000,REQUEST,0.00000000000000000000000000000000078275902345965540567795421374557782780616114554084495708693012193114824339946762535293691172987659743146003667518428683653915781303994993651120080595818418319434931957326131193620421627798418882560,please also refund the other atm charge been applied on the account
REQUEST,COMPLAINT,0.00001419546354780839094435747060988838943973489131280,REQUEST,0.000007761254885790306481312864138029132498238288704000,call me
REQUEST,COMPLAINT,0.000000000000000000000000000000000000000000000000000000002497076968755903829360906726131499899250969625758535848455101598766418170224823852717267485135974001540299192020148054278770360805029749564898507906248848153610336924424328645849946131096152963748735555095780771957479280366441585908100274563958066446423904820373511101249326536608542597631535682997858632045037306596244362535850065134364917760,REQUEST,0.000000000000000000000000000000000000000000000000000000000245864183880465908659738414167761878531489919575702906417232838651357295773550938376645629243379669765156672622483629609189318616834710250359574728996812254953228282361013892204273837089029426210660431977662548958136800094274144964487789891466964190497018539388528492595293940272233691474524480271836817675502107077625185688609158594560,kindly tell me how to contact customer care for cr card account login i tried your all number and become full
REQUEST,COMPLAINT,0.0000000000000000000000000000000000001445840464393761822732708693504669780074558829615936737580877208685195738233489027763558139630479516012702888476618201084924790491486213109349693215982553377221020639246837592638827439014206563229393920167475908516204664578414533018947970147774673344000,REQUEST,0.00000000000000000000000000000000000000238572242899504996879063883944014496481246864869276466808730324775012181891167890519007171580399495745202000415617418179965808236449848808927107228543039869818476648492423535746012999212514662821156858237337584163636581045268421456513099596800000000,is this a valid email  i do not have any account with you ending with
REQUEST,COMPLAINT,0.0000000000000000000000000000000000000000000000000000000007128837320759704270281381946953478751670286288471851813996446916930512935730902729144326819633646089434045562892382066849461509104556912526419801098524666059210669442654873857355053574132114400010082253948890722051747431284925875816672303285211849651464927375120506858009603437824741752003376588754345799322323914495703525897837636991372492800,REQUEST,0.00000000000000000000000000000000000000000000000000000000003625168950626160526249928161313306151625088604968649840505007143849424783570479899887131812863579875327473963592759924913861640712269623661673459378136114742367275510158342348587785277063809163666952689737584720932252343416362642192489085449302886832483703522866565244947499810044516596840822355934355530283756158379986046156800000,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,MISCEALLANEOUS,0.0000000000000000000000000019849243981250744936306863133652846875599030843416176925957753945222928451829110905956372748816929562522693774022161960601806640625000000,REQUEST,0.00000000000000000000000000143915405836281519340204106996410493370877025289860130988240526733462360592678968313705203533440654329125339149463886700366786285439825215351371815976960,i ll b in delhi on nvmbr contact m
REQUEST,COMPLAINT,0.0000000000019188519804874717704987053036891348968283650075009597726990225158879492772772250,REQUEST,0.000000000001272203799591503434629242520924566604941069541229722093632582185266941506560,nothing yet  please help
REQUEST,COMPLAINT,0.0000000000000000000000000000000000000006230622891698933494523554105759006511443485350205426196047445149546524757681250574559089652897988118894014228232981011423899251469940925226904432391863327153366992043056340947043899781302980926387994445612587619483514909507396489081628031713280000,REQUEST,0.00000000000000000000000000000000000000002025573572307663127116558912502285947719801765869891171085963868614206284629642271820775184484778298136992646258418781215774107009637241464166236843087716718053089346876891760655791967744851894849922963107988856458771584647482004802764800000000,can u give a resolution r solution to this  i send a dm as well
REQUEST,COMPLAINT,0.0000000000000000000000000000000000000052368603796333841114043378331406168155342237175295317849701315050708770368132231053678148658924271471657252595356971054837231404717223948176862547821211617955144159857116178309487866631641534189242267925930146400618541193386790831749120,REQUEST,0.000000000000000000000000000000000000000000043086904728023073808627656361433051424391528797460469390389622305318045058457445715596837539158806507598829093949306278103598668425103515119537717872739203391933723687300993363469779600209524094605534507093555141937452810240000,why there's no kannada language in ur challan  saw this today in bhattar
REQUEST,COMPLAINT,0.0000000000000000131061358325562887885225692646468644151351831559531179790128388314414344770282307721735768900637497623734712320,REQUEST,0.0000000000000000075668066327483034126059149243943899020724146666008738594951905182550362362750822077545401786138097598464000,Looking for a credit card.
